Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
6674000,-87.75,-122.79,50.0,1.00,-0.0,50.0,-0.0
6674250,-88.02,-121.89,50.0,1.00,-0.0,50.0,-0.0
6674500,-87.46,-123.94,50.0,1.00,-0.0,50.0,-0.0
6674750,-87.67,-122.36,50.0,1.00,-0.0,50.0,-0.0
6675000,-88.11,-124.14,50.0,1.00,-0.0,50.0,-0.0
6675250,-87.35,-123.48,50.0,1.00,-0.0,50.0,-0.0
6675500,-87.50,-126.02,50.0,1.00,-0.0,50.0,-0.0
6675750,-87.37,-123.95,50.0,1.00,-0.0,50.0,-0.0
6676000,-87.31,-122.33,50.0,1.00,-0.0,50.0,-0.0
6676250,-88.13,-123.80,50.0,1.00,-0.0,50.0,-0.0
6676500,-88.25,-125.54,50.0,1.00,-0.0,50.0,-0.0
6676750,-87.47,-124.06,50.0,1.00,-0.0,50.0,-0.0
6677000,-87.83,-123.79,50.0,1.00,-0.0,50.0,-0.0
6677250,-87.49,-123.18,50.0,1.00,-0.0,50.0,-0.0
6677500,-87.52,-124.57,50.0,1.00,-0.0,50.0,-0.0
6677750,-87.71,-125.85,50.0,1.00,-0.0,50.0,-0.0
6678000,-87.35,-122.90,50.0,1.00,-0.0,50.0,-0.0
6678250,-87.82,-124.59,50.0,1.00,-0.0,50.0,-0.0
6678500,-87.26,-122.37,50.0,1.00,-0.0,50.0,-0.0
6678750,-87.75,-128.14,50.0,1.00,-0.0,50.0,-0.0
6679000,-87.49,-122.60,50.0,1.00,-0.0,50.0,-0.0
6679250,-87.70,-122.94,50.0,1.00,-0.0,50.0,-0.0
6679500,-87.65,-124.95,50.0,1.00,-0.0,50.0,-0.0
6679750,-87.52,-122.85,50.0,1.00,-0.0,50.0,-0.0
6680000,-87.71,-122.49,50.0,1.00,-0.0,50.0,-0.0
6680250,-87.46,-124.25,50.0,1.00,-0.0,50.0,-0.0
6680500,-88.12,-124.85,50.0,1.00,-0.0,50.0,-0.0
6680750,-87.52,-123.41,50.0,1.00,-0.0,50.0,-0.0
6681000,-87.70,-123.51,50.0,1.00,-0.0,50.0,-0.0
6681250,-87.91,-120.68,50.0,1.00,-0.0,50.0,-0.0
6681500,-87.73,-123.77,50.0,1.00,-0.0,50.0,-0.0
6681750,-87.91,-124.93,50.0,1.00,-0.0,50.0,-0.0
6682000,-87.68,-126.13,50.0,1.00,-0.0,50.0,-0.0
6682250,-87.41,-126.31,50.0,1.00,-0.0,50.0,-0.0
6682500,-87.59,-123.03,50.0,1.00,-0.0,50.0,-0.0
6682750,-87.88,-125.24,50.0,1.00,-0.0,50.0,-0.0
6683000,-87.74,-122.50,50.0,1.00,-0.0,50.0,-0.0
6683250,-87.47,-126.05,50.0,1.00,-0.0,50.0,-0.0
6683500,-87.23,-123.19,50.0,1.00,-0.0,50.0,-0.0
6683750,-87.60,-123.94,50.0,1.00,-0.0,50.0,-0.0
6684000,-87.22,-127.78,50.0,1.00,-0.0,50.0,-0.0
6684250,-87.73,-124.10,50.0,1.00,-0.0,50.0,-0.0
6684500,-87.23,-123.94,50.0,1.00,-0.0,50.0,-0.0
6684750,-87.58,-123.23,50.0,1.00,-0.0,50.0,-0.0
6685000,-87.71,-124.41,50.0,1.00,-0.0,50.0,-0.0
6685250,-87.52,-122.15,50.0,1.00,-0.0,50.0,-0.0
6685500,-87.42,-122.05,50.0,1.00,-0.0,50.0,-0.0
6685750,-87.77,-124.72,50.0,1.00,-0.0,50.0,-0.0
6686000,-87.79,-122.64,50.0,1.00,-0.0,50.0,-0.0
6686250,-87.98,-123.33,50.0,1.00,-0.0,50.0,-0.0
6686500,-87.67,-123.78,50.0,1.00,-0.0,50.0,-0.0
6686750,-87.32,-122.93,50.0,1.00,-0.0,50.0,-0.0
6687000,-87.66,-125.16,50.0,1.00,-0.0,50.0,-0.0
6687250,-87.90,-124.52,50.0,1.00,-0.0,50.0,-0.0
6687500,-87.84,-125.74,50.0,1.00,-0.0,50.0,-0.0
6687750,-87.64,-124.09,50.0,1.00,-0.0,50.0,-0.0
6688000,-87.63,-123.38,50.0,1.00,-0.0,50.0,-0.0
6688250,-87.42,-125.27,50.0,1.00,-0.0,50.0,-0.0
6688500,-87.39,-122.56,50.0,1.00,-0.0,50.0,-0.0
6688750,-87.88,-122.96,50.0,1.00,-0.0,50.0,-0.0
6689000,-87.86,-124.46,50.0,1.00,-0.0,50.0,-0.0
6689250,-87.61,-124.61,50.0,1.00,-0.0,50.0,-0.0
6689500,-87.82,-124.06,50.0,1.00,-0.0,50.0,-0.0
6689750,-87.76,-126.44,50.0,1.00,-0.0,50.0,-0.0
6690000,-87.85,-125.86,50.0,1.00,-0.0,50.0,-0.0
6690250,-87.78,-124.01,50.0,1.00,-0.0,50.0,-0.0
6690500,-87.63,-123.71,50.0,1.00,-0.0,50.0,-0.0
6690750,-87.68,-123.88,50.0,1.00,-0.0,50.0,-0.0
6691000,-87.43,-122.91,50.0,1.00,-0.0,50.0,-0.0
6691250,-87.41,-124.12,50.0,1.00,-0.0,50.0,-0.0
6691500,-87.38,-123.87,50.0,1.00,-0.0,50.0,-0.0
6691750,-87.93,-128.97,50.0,1.00,-0.0,50.0,-0.0
6692000,-88.02,-127.67,50.0,1.00,-0.0,50.0,-0.0
6692250,-87.73,-123.24,50.0,1.00,-0.0,50.0,-0.0
6692500,-87.94,-124.66,50.0,1.00,-0.0,50.0,-0.0
6692750,-87.95,-125.39,50.0,1.00,-0.0,50.0,-0.0
6693000,-87.76,-125.60,50.0,1.00,-0.0,50.0,-0.0
6693250,-87.61,-127.36,50.0,1.00,-0.0,50.0,-0.0
6693500,-87.55,-126.33,50.0,1.00,-0.0,50.0,-0.0
6693750,-87.63,-124.62,50.0,1.00,-0.0,50.0,-0.0
6694000,-87.84,-122.88,50.0,1.00,-0.0,50.0,-0.0
6694250,-87.67,-123.28,50.0,1.00,-0.0,50.0,-0.0
6694500,-87.90,-124.01,50.0,1.00,-0.0,50.0,-0.0
6694750,-88.41,-123.52,50.0,1.00,-0.0,50.0,-0.0
6695000,-87.60,-125.14,50.0,1.00,-0.0,50.0,-0.0
6695250,-88.21,-125.01,50.0,1.00,-0.0,50.0,-0.0
